Класс,Количество боксов,Количество изображений
2С25М,69,66
2С6,8,8
ADATS,20,20
Challenger,25,25
FlaRakRad,18,18
HSTV-L,15,15
Leclerc,71,70
Leopard 2A,198,190
Leopard a1,8,8
M1A2 ABRAMS,281,249
M3A3 Bredley,64,50
M48 Patton,18,17
Merkava Mk. 3D,38,38
Wiesel 1A2,10,10
bmd1,4,4
bmp1,6,6
БМД-4М2,23,23
БМП2М,23,23
БМПТ,53,53
БТР-80А,20,20
БТР-82АТ,17,17
Бук-М3,33,32
"ЗСУ-23 ""Шилка""",14,14
ОПЛОТ,16,12
ОПЛОТ-М,8,8
Т-54,3,3
Т-62,14,13
Т-64,53,45
Т-72А,47,34
Т-72Б3А,63,60
Т-80БВМ,45,45
Т-80У,189,188
Т-90,29,28
Т-90М,109,101
Т72Б3,20,19
УНИЧТОЖЕН,263,142
Хризантема-С,36,36
танк,4664,2651
